date,EH,CH,WH,LG,private,total,contact,travel,under_inv,less_20yrs,youthadults_20_39,rubyage_40_49,goldage_50_59,diamondage_60_69,platinumage_70up,days_since
2021-12-15,3,1,9,0,0,13,2.0,2.0,4,3,1,3,2,0,2,9.0
2021-12-17,11,4,31,0,0,46,8.0,16.0,17,18,6,4,1,0,2,22.0
2021-12-18,5,16,2,0,0,23,1.0,8.0,5,10,3,4,1,0,1,14.0
2021-12-19,13,16,8,1,0,38,0.0,42.0,7,19,3,7,2,0,1,12.0
2021-12-20,4,10,13,0,0,27,0.0,6.0,7,14,2,0,3,1,1,21.0
2021-12-21,9,10,8,0,0,27,3.0,8.0,10,7,2,2,4,2,1,16.0
2021-12-22,37,10,12,1,0,60,0.0,60.0,5,28,2,6,4,2,1,0.0
2021-12-23,73,19,7,1,0,100,5.0,87.0,9,56,10,18,5,2,1,9.0
2021-12-24,47,8,26,4,0,85,0.0,75.0,19,38,12,8,5,3,1,10.0
2021-12-27,262,29,62,4,0,357,,,0,0,0,0,0,0,3,
2021-12-28,154,15,12,13,0,194,,,0,0,0,0,0,0,1,
2021-12-29,216,49,30,16,1,312,0.0,106.0,48,147,37,43,22,13,1,0.0
2021-12-30,199,53,22,66,9,349,0.0,349.0,64,126,57,56,23,14,1,0.0
2021-12-31,272,37,25,92,5,431,0.0,159.0,67,156,62,72,42,27,1,0.0
2022-01-01,233,35,22,146,6,442,,,0,0,0,0,0,0,1,
2022-01-02,283,68,58,46,11,466,,,0,0,0,0,0,0,1,
2022-01-03,276,64,43,125,0,519,0.0,519.0,103,181,73,76,38,37,1,0.0
